@relation 'about128s-weka.filters.unsupervised.attribute.Remove-R7,9-11-weka.filters.unsupervised.attribute.NumericToNominal-R7'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
69039,2.96653,2.020324,1.754287,0.841543,0.830681,1
8232,7.86463,5.558834,3.924132,2.754822,1.879348,1
216224,2.553326,1.69546,1.038133,0.499264,0.375015,2
149634,3.028774,2.180975,1.394477,0.748956,0.079343,2
176810,2.642206,1.860259,1.40395,0.65066,0.252917,2
140808,2.694798,2.068234,1.28196,0.62426,0.317127,2
584983,1.445523,1.12586,0.527244,0.259658,0.085925,3
776268,1.187656,0.970779,0.435631,0.235787,0.076433,3
1770168,0.280951,0.176255,0.130272,0.075764,0.019729,3
1662127,0.301594,0.123458,0.093117,0.07557,0.057409,3
32443,6.257495,4.401637,3.073025,2.097219,1.881143,1
50034,4.509478,4.014703,2.785847,1.870097,1.069917,1
57714,4.128945,2.852683,1.907315,1.134972,0.625547,1
69002,3.864459,2.657677,2.12327,1.255024,0.831418,1
2126,7.842463,5.542829,3.912555,2.746074,1.872588,1
209402,2.473089,1.75786,1.07693,0.500069,0.377177,2
144340,3.031977,2.227212,1.412885,0.660506,0.042196,2
204918,2.272672,1.490864,0.954641,0.411149,0.422568,2
140892,2.979504,2.183139,1.400136,0.62412,0.316741,2
573538,1.386138,1.073446,0.608994,0.284664,0.127161,3
843192,0.948859,0.666558,0.372573,0.096911,0.081269,3
1817974,0.377254,0.246131,0.123105,0.094322,0.031796,3
1531660,0.242311,0.16558,0.106942,0.046028,0.035781,3
26182,7.212196,5.255859,3.702128,2.585037,1.880826,1
45223,5.161916,3.898242,2.699027,1.800568,0.997908,1
42801,3.328319,2.259243,2.015605,1.287833,0.695102,1
69028,3.448446,2.349463,2.022384,0.879891,0.831679,1
9,3.771236,2.581989,1.666667,0.881917,0.745356,1
204617,2.544745,1.857077,1.153893,0.623032,0.380567,2
171427,2.85144,1.960784,1.223507,0.592557,0.151372,2
176949,2.489642,1.656791,1.207208,0.492236,0.252885,2
140780,2.774726,1.840498,1.087894,0.624368,0.316935,2
568691,1.704049,1.082805,0.569335,0.274586,0.140906,3
781493,1.172561,0.80916,0.36474,0.192436,0.079988,3
2155675,0.474237,0.35435,0.162148,0.065286,0.045806,3
1826227,0.521828,0.381473,0.186989,0.124502,0.070037,3
24741,7.871328,5.563661,3.927648,2.757568,1.88153,1
10315,7.860151,5.555693,3.921862,2.753097,1.878444,1
57712,3.520525,2.657357,1.764844,1.003934,0.611183,1
68979,3.857456,3.105006,2.416044,1.31025,0.831138,1
10,3.98748,2.738613,1.788854,1.048809,0.83666,1
194740,2.645163,1.818646,1.096975,0.654163,0.392016,2
144269,2.915034,2.138191,1.499019,0.833363,0.141877,2
176828,2.719666,1.877932,1.338469,0.742883,0.253462,2
140804,2.850235,1.898245,1.143642,0.62448,0.31712,2
546051,1.554616,1.135238,0.65372,0.32332,0.084121,3
