@relation 'multiresolution-weka.filters.unsupervised.attribute.Remove-R7,9-11'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
1351949,1.368818,1.208389,1.058613,1.028933,0.60433,3
1225298,1.443379,1.231313,1.046494,1.004681,0.604577,3
809739,1.663397,1.163523,0.481396,0.321393,0.045563,3
823950,1.667019,1.121741,0.484257,0.333169,0.044953,3
717250,1.863395,1.334042,0.642439,0.344608,0.167682,3
796473,1.778158,1.221613,0.539298,0.332579,0.188525,3
606525,2.652713,2.645567,1.73191,0.999918,0,3
1468748,1.381337,1.206563,0.838172,0.727139,0.587046,3
1638434,1.264323,0.941461,0.671943,0.562491,0.464767,3
1747783,1.173979,0.796985,0.558486,0.464186,0.384238,3
2122166,0.923449,0.466025,0.239201,0.175361,0.061352,3
2072166,0.899956,0.332639,0.180534,0.065845,0.028836,3
2194347,0.868904,0.442006,0.212818,0.16298,0.080949,3
2095500,0.859245,0.399307,0.175345,0.13213,0.103027,3
448222,2.65576,2.645671,1.73199,1.000001,0,3
2460298,1.142472,0.947683,0.886021,0.840938,0.817818,3
2196833,1.130268,0.897855,0.833776,0.787472,0.76682,3
2065118,1.124072,0.843289,0.782015,0.733848,0.715026,3
2345765,0.936856,0.612694,0.572159,0.535833,0.523695,3
1651866,0.93855,0.313488,0.197546,0.083673,0.029092,3
1685538,0.944378,0.43822,0.280732,0.115796,0.101363,3
1627478,0.954784,0.406479,0.256766,0.067376,0.065527,3
2339980,0.754227,0.726479,0.680546,0.626864,0,1
1191070,1.42746,1.397622,1.351342,1.29978,0.964603,1
827307,1.809699,1.766283,1.710138,1.651057,1.293208,1
620485,2.167931,2.119652,2.057348,1.991961,1.600977,1
35492,6.019845,4.197524,2.882846,1.911907,1.152678,1
24954,7.932802,5.564586,3.870867,2.644206,1.731218,1
16,4.145781,2.861381,1.903943,1.118034,0.75,1
24771,7.869408,5.562291,3.926647,2.75682,0.999414,1
2273850,0.920909,0.88369,0.872962,0.866685,0,1
1211505,1.525604,1.474103,1.456601,1.446862,0.87688,1
807678,1.997774,1.93891,1.918968,1.907885,1.285817,1
617046,2.3313,2.264175,2.241044,2.22825,1.552694,1
68615,4.179382,2.86949,1.90187,1.144243,0.794098,1
31335,5.783471,4.02793,2.758997,1.818535,1.074087,1
37148,5.019168,3.503559,2.403192,1.559997,0.891195,1
25683,6.422278,4.520086,3.160597,2.165935,1.356987,1
177020,2.928987,2.645126,1.731573,0.999723,0,1
1323180,1.584939,1.237309,1.203583,0.89504,0.866216,1
909082,2.000602,1.611104,1.571253,1.244606,1.214375,1
687082,2.360446,1.929461,1.88557,1.532076,1.499806,1
648089,2.492356,2.039897,2.011591,1.650875,1.622899,1
55983,4.145189,2.84452,1.882989,1.128191,0.636394,1
41680,4.249785,2.94139,1.975704,1.254282,0.914468,1
41879,4.237851,2.882237,1.965861,1.248491,0.909423,1
2173555,1.046679,1.027934,1.004972,0.999993,0,1
1099350,1.760662,1.738344,1.711596,1.705733,0.977128,1
762177,2.181123,2.147927,2.113743,2.105058,1.309831,1
600687,2.470113,2.419316,2.374818,2.361526,1.512756,1
88350,3.72435,2.634257,1.723344,0.99245,0.440456,1
82066,3.982623,2.831022,1.872817,1.119692,0.600327,1
67444,4.246969,2.957195,2.044016,1.256134,0.862371,1
69188,3.64319,2.513837,2.069327,0.917272,0.82414,1
2034924,0.9216,0.887738,0.874889,0.87075,0,1
1017474,1.642743,1.605015,1.590842,1.586294,0.999976,1
678328,2.132536,2.089,2.072675,2.06744,1.414151,1
508746,2.529219,2.480302,2.461972,2.456097,1.731983,1
25307,7.932067,5.564062,3.870314,2.643921,1.730739,1
25310,7.931111,5.563381,3.869825,2.643563,1.730465,1
25730,7.862247,5.557134,3.923139,2.7542,1.878944,1
40,5.359571,3.748333,2.588436,1.746425,1.024695,1
2262838,0.20006,0.14918,0.025331,0.019597,0,2
1280762,0.87518,0.830001,0.780049,0.767296,0.76679,2
899624,1.21648,1.152778,1.097483,1.078085,1.073988,2
749628,1.397264,1.285482,1.204006,1.172959,1.168774,2
218279,2.595732,1.802346,1.184633,0.584536,0.370561,2
217573,2.589074,1.688722,1.098528,0.584937,0.368564,2
219611,2.635603,1.939553,1.173462,0.612298,0.362096,2
217011,2.460324,1.717847,1.062636,0.592476,0.374495,2
1594355,0.885377,0.790987,0.679087,0.638876,0,2
865880,1.445446,1.341973,1.224543,1.183754,0.841312,2
651346,1.717691,1.566929,1.422142,1.366716,1.02512,2
519131,1.950113,1.770109,1.614206,1.548987,1.188457,2
164881,2.747921,1.856597,1.216421,0.618309,0.20448,2
168786,2.968466,1.976333,1.302845,0.668468,0.184315,2
150510,3.117041,2.246516,1.428603,0.801073,0.028934,2
171330,2.979514,1.996534,1.221834,0.527131,0.108313,2
2241286,0.722587,0.599135,0.467236,0.2534,0,2
1180199,1.336389,1.212897,1.098726,0.961343,0.899074,2
882405,1.596596,1.435956,1.30539,1.153526,1.091687,2
703323,1.828164,1.640413,1.493433,1.330589,1.26549,2
177337,2.985801,1.996992,1.326558,0.616427,0.368714,2
187735,3.013127,2.016596,1.41135,0.704267,0.310092,2
179268,2.903461,2.028468,1.319462,0.733195,0.153646,2
176925,2.777501,2.027031,1.446703,0.743029,0.253426,2
1042363,1.696638,1.67124,1.656439,0.933828,0,2
578229,2.369271,2.306243,2.271757,1.442451,0.802681,2
440831,2.662587,2.54941,2.488468,1.611365,0.966074,2
330624,3.128222,2.99988,2.930857,1.948155,1.256073,2
109408,3.855103,2.63266,1.72207,0.991366,0.604743,2
134496,3.44888,2.333986,1.491241,0.782254,0.599482,2
134545,3.411857,2.321649,1.346692,0.756446,0.678635,2
140877,3.264547,2.21142,1.400015,0.623977,0.316803,2
2619763,0.876984,0.787155,0.738428,0.738187,0,3
1572473,1.312854,1.175552,1.100749,1.096671,0.666014,3
1230149,1.502326,1.330226,1.223365,1.213408,0.798797,3
1079761,1.589344,1.372639,1.234682,1.222337,0.824223,3
