rate,sigma1,sigma2,sigma4,sigma8,sigma16,duration,output,outputdesc,time,flow_count
57348,1137.12224497,786.033078184,529.385492812,333.931130624,252.665787158,80,1,YT0,2016-10-26 12:17:38.167794,5.58461538462
21847,1172.13181853,822.205570402,571.914329249,390.745441432,255.767472521,96,1,YT0,2016-10-26 12:17:38.168833,6.07692307692
46922,1197.70447106,839.178169401,580.740045115,299.721537431,207.0,112,1,YT0,2016-10-26 12:17:38.169705,6.90625
24747,1237.89498747,874.973142445,617.678719077,433.656546128,295.868213906,128,1,YT0,2016-10-26 12:17:38.170507,7.8125
2235317,1066.49894515,987.802105687,916.080236661,748.827750554,0.0,16,1,YT1,2016-10-26 12:20:41.246083,2.88235294118
1192371,1419.06694698,1356.41291648,1308.38067855,1199.86374226,955.115699798,32,1,YT1,2016-10-26 12:20:41.246714,2.93939393939
794918,1552.80005152,1495.75867037,1452.34259044,1355.40141656,1144.41600828,48,1,YT1,2016-10-26 12:20:41.247394,2.95918367347
627368,1586.98487705,1517.79708789,1468.77261685,1373.40744137,1174.24060567,64,1,YT1,2016-10-26 12:20:41.248167,3.06153846154
68540,1108.02391671,761.306114516,593.924237593,377.035807318,263.882549631,80,1,YT1,2016-10-26 12:20:41.248935,3.58461538462
31194,1400.83689272,982.635741259,683.512252999,466.967878981,305.718825066,96,1,YT1,2016-10-26 12:20:41.249699,4.07692307692
64548,1402.96044135,982.947099289,680.161745469,452.975716788,248.36666443,112,1,YT1,2016-10-26 12:20:41.250498,5.03125
32880,1427.07498051,1008.69172694,712.077945172,499.911992255,341.10555551,128,1,YT1,2016-10-26 12:20:41.251256,5.9375
2404431,943.23220895,882.82897551,845.554847423,372.055103446,0.0,16,1,YT2,2016-10-26 12:23:44.208017,5.0
1202229,1446.32326954,1407.6764543,1384.6042756,1157.84195813,1096.43695669,32,1,YT2,2016-10-26 12:23:44.209380,5.0
835469,1539.22415522,1497.03239778,1472.46629843,1269.73264902,1214.61187216,48,1,YT2,2016-10-26 12:23:44.210739,5.0
631865,1596.53499805,1555.79047432,1532.13609056,1340.06940119,1288.33691246,64,1,YT2,2016-10-26 12:23:44.212294,5.0
55986,980.751242671,673.009658177,445.510942627,318.854198655,194.622711933,80,1,YT2,2016-10-26 12:23:44.213177,5.0
61247,947.717257414,646.884069985,422.61921395,294.088422077,162.376106617,96,1,YT2,2016-10-26 12:23:44.213998,5.0
36329,908.62588561,632.784323447,431.619044992,275.312549659,206.281361252,112,1,YT2,2016-10-26 12:23:44.214795,5.0
57715,991.94052241,685.330577167,458.215015031,272.666462918,150.283066245,128,1,YT2,2016-10-26 12:23:44.215585,5.0
1944816,1310.86498161,1226.10807028,1028.87122615,817.171340662,174.318673698,16,1,YT3,2016-10-26 12:27:03.408754,6.0
921039,1598.05193908,1524.46580808,1361.26742413,1199.89791232,875.489006213,32,1,YT3,2016-10-26 12:27:03.409374,6.0
600684,1698.13868692,1627.51251915,1472.205828,1320.95268651,1027.95330633,48,1,YT3,2016-10-26 12:27:03.410084,6.0
475173,1708.98215321,1625.70630804,1469.35087709,1320.86713942,1041.7787673,64,1,YT3,2016-10-26 12:27:03.410853,6.0
66241,1075.87592221,824.590807613,553.962092566,346.864526869,211.716791965,80,1,YT3,2016-10-26 12:27:03.411613,6.0
59934,1118.14131486,862.324184979,584.664861267,375.430419652,245.279432485,96,1,YT3,2016-10-26 12:27:03.412374,6.0
67262,1075.56217858,808.017945345,626.578007913,407.283684918,223.906230373,112,1,YT3,2016-10-26 12:27:03.413128,6.0
68982,929.961827174,707.906067215,557.570623329,329.508725226,218.297961511,128,1,YT3,2016-10-26 12:27:03.413910,6.0
2028180,1241.54097798,1206.66233885,1108.21387827,1063.93279863,0.0,16,1,YT4,2016-10-26 12:30:06.361537,5.0
1014106,1598.57467764,1571.63990787,1497.3847201,1464.91535592,1006.99652432,32,1,YT4,2016-10-26 12:30:06.362200,5.0
676081,1701.00323339,1675.71596639,1606.28017481,1576.05615382,1162.77082867,48,1,YT4,2016-10-26 12:30:06.362879,5.0
539999,1701.11992523,1665.11501104,1593.14437513,1563.12379548,1171.51397772,64,1,YT4,2016-10-26 12:30:06.363675,5.15384615385
33183,1141.07011178,796.509886944,548.290069215,477.902709764,312.416388815,80,1,YT4,2016-10-26 12:30:06.364440,5.4
33179,1141.14241004,796.563242938,548.331104352,477.94037285,312.448395739,96,1,YT4,2016-10-26 12:30:06.365202,5.64615384615
33700,1141.01183167,802.362760851,565.096451944,506.271666203,345.440298749,112,1,YT4,2016-10-26 12:30:06.365973,6.125
10,11.5758369028,7.87400787401,5.09901951359,2.82842712475,1.41421356237,128,1,YT4,2016-10-26 12:30:06.366726,6.71875
2215364,1734.74637916,1325.7812791,1159.48566183,1127.67105133,93.0215028905,16,2,YT5,2016-10-26 12:33:25.476129,6.0
1226261,1889.36073845,1521.21201678,1370.50173294,1336.68956755,803.516645752,32,2,YT5,2016-10-26 12:33:25.476740,6.0
855567,1936.53763196,1596.40189176,1450.06172282,1414.39563065,950.173142117,48,2,YT5,2016-10-26 12:33:25.477418,6.0
714285,1904.81573912,1562.50439999,1409.6914556,1368.69171109,941.810490492,64,2,YT5,2016-10-26 12:33:25.478289,6.0
218235,1308.13837189,911.088908944,553.11662423,273.03662758,173.150223794,80,2,YT5,2016-10-26 12:33:25.479060,6.0
217503,1177.7368127,867.492363079,517.226256101,272.712302619,171.889499388,96,2,YT5,2016-10-26 12:33:25.479891,6.0
219540,1239.52652251,860.261006904,549.811785978,286.804811675,169.69678842,112,2,YT5,2016-10-26 12:33:25.480652,6.0
216963,1187.09140339,827.375368258,531.224999412,276.050719977,174.636765889,128,2,YT5,2016-10-26 12:33:25.487620,6.0
320553,823.622486337,751.573017078,506.96252327,40.0249921924,0.0,16,2,YT6,2016-10-26 12:36:28.500651,5.76470588235
246750,994.253991694,788.420573045,524.431120358,240.88586509,148.573214275,32,2,YT6,2016-10-26 12:36:28.501862,5.87878787879
306995,993.265825447,704.260605174,416.410854806,236.776265702,188.342772625,48,2,YT6,2016-10-26 12:36:28.504644,5.91836734694
317261,979.330383476,658.988619022,384.660889616,233.647169895,163.523698588,64,2,YT6,2016-10-26 12:36:28.505554,5.93846153846
269959,1032.81798977,666.406782679,390.094860258,307.957789315,234.814820657,80,2,YT6,2016-10-26 12:36:28.506473,6.0
284235,1052.76065656,674.873321446,383.981770401,260.714403131,211.598676744,96,2,YT6,2016-10-26 12:36:28.507291,6.0
213355,1102.99818676,748.769657505,478.119231991,295.120314448,198.224620065,112,2,YT6,2016-10-26 12:36:28.508054,6.0
186654,1177.48885345,787.042565558,497.0,204.193535647,120.133259341,128,2,YT6,2016-10-26 12:36:28.508814,6.0
2273278,1427.68659026,1365.29410751,1319.29071853,1314.72278447,0.0,16,2,YT7,2016-10-26 12:40:58.113638,5.82352941176
1212054,1712.15244648,1648.61638958,1605.32488924,1597.89204892,963.931532838,32,2,YT7,2016-10-26 12:40:58.114337,5.90909090909
893040,1732.46442965,1661.34403421,1607.4853032,1593.16414722,1033.74996977,48,2,YT7,2016-10-26 12:40:58.115075,5.9387755102
